20	0.666667	0.275
40	1	0
60	1	0
80	0.787879	0.525
100	0.818182	0.825
120	0.787879	0.875
140	0.787879	0.825
160	0.727273	0.7
180	0.636364	0.925
200	0.848485	0.875
220	0.818182	0.925
240	0.848485	0.95
260	0.666667	0.825
280	0.666667	0.875
300	0.69697	0.775
320	0.787879	0.875
340	0.848485	0.8
360	0.787879	0.875
380	0.787879	0.85
400	0.757576	0.8
420	0.848485	0.9
440	0.606061	0.925
460	0.787879	0.9
480	0.636364	0.925
500	0.757576	0.85
520	0.787879	0.85
540	0.787879	0.875
560	0.818182	0.9
580	0.878788	0.825
600	0.878788	0.875
620	0.787879	0.85
640	0.878788	0.8
660	0.727273	0.875
680	0.848485	0.875
700	0.818182	0.95
720	0.878788	0.875
740	0.848485	0.925
760	0.818182	0.9
780	0.848485	0.875
800	0.818182	0.9
820	0.787879	0.875
840	0.848485	0.9
860	0.878788	0.825
880	0.787879	0.875
900	0.848485	0.875
920	0.878788	0.9
940	0.787879	0.85
960	0.727273	0.875
980	0.848485	0.95
1000	0.757576	0.85
1020	0.878788	0.925
1040	0.666667	0.9
1060	0.727273	0.775
1080	0.848485	0.925
1100	0.848485	0.925
1120	0.787879	0.925
1140	0.636364	0.825
1160	0.727273	0.75
1180	0.818182	0.825
1200	0.666667	0.85
1220	0.818182	0.775
1240	0.727273	0.85
1260	0.818182	0.8
1280	0.666667	0.825
1300	0.727273	0.85
1320	0.787879	0.825
1340	0.727273	0.85
1360	0.787879	0.9
1380	0.727273	0.9
1400	0.878788	0.875
1420	0.757576	0.85
1440	0.818182	0.925
1460	0.878788	0.775
1480	0.787879	0.825
1500	0.848485	0.9
1520	0.848485	0.975
1540	0.939394	0.95
1560	0.787879	0.95
1580	0.848485	0.975
1600	0.787879	0.975
1620	0.818182	0.95
1640	0.878788	0.975
1660	0.848485	0.975
1680	0.878788	0.975
1700	0.878788	0.95
1720	0.909091	0.95
1740	0.878788	0.975
1760	0.878788	0.925
1780	0.848485	0.95
1800	0.848485	0.9
1820	0.818182	0.975
1840	0.818182	0.95
1860	0.818182	0.9
1880	0.878788	0.95
1900	0.848485	0.95
1920	0.909091	0.925
1940	0.909091	0.925
1960	0.909091	0.9
1980	0.939394	0.95
2000	0.878788	0.9
